Field=#~Integer~#~50|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Manufacturer PN~String~Manufacturer PN~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MotorBoard .PrjPcb|ReportField=ProjectFullPath~P:\Courses\ENCE461\Project\wacky_race_team7\MotorBoard\MotorBoard .PrjPcb|ReportField=Title~Bill of Materials For Project [MotorBoard .PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~107|ReportField=ReportTime~11:52:15 PM|ReportField=ReportDate~3/23/2017|ReportField=ReportDateTime~3/23/2017 11:52:15 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~ECE Department|ReportField=Address2~University of Canterbury|ReportField=Address3~Christchurch 8041|ReportField=Address4~New Zealand|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~3/23/2017|ReportField=CurrentTime~11:48:02 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~P:\Courses\ENCE461\Project\wacky_race_team7\MotorBoard\MotorBoard.SchDoc|ReportField=DocumentName~MotorBoard.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Jono Kapene, Neeraj Patel, Hugh Paterson|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~3/23/2017|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.01:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=4200:PaperWidth=2970:Scale=100:PaperSource=7:PrintQuality=600:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A3 (297 x 420 mm):PaperIndex=8|ReportField=ProjectName~MotorBoard .PrjPcb|ReportField=Revision~2|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~ENCE461 Motor Board|ReportField=DataSourceFileName~MotorBoard .PrjPcb|ReportField=DataSourceFullPath~P:\Courses\ENCE461\Project\wacky_race_team7\MotorBoard\MotorBoard .PrjPcb
1||*1|UC383 5||||1||||||
2|TERM_BLK_HEADER 5.08mm 2 Pos R/A Thru Hole|Battery1|JA_TERM_BLK_HDR_2 PIN||||1|Farnell||3704579||3694|
3|CAP CER 10pF COG/NPO 50V 0603|C1, C2|CC_10pF_0603||||2||||||
4|CAP CER 100nF X7R +-10% 50V 0603|C3, C4, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20|CC_100nF_0603||||12||||||
5|CAP CER 10UF X5R +-20% 10V 0603|C5, C6, C7, C8, C9, C10|CC_10uF_0603||||6||||||
6|CAP CER 4.7uF X5R +-20%  10V 0603|C21|CC_4.7uF_0603||||1||||||
7|Header_Horiz_2Pos_1.25mm_125V@1A_SMT|Choose header spare 1, Choose header spare batt1|JB_53261-02|MOLEX|53261-0271||2|Farnell|Digi-Key|1125373|WM7620CT-ND|5312|46161
8|DIODE SCHOTTKY 15V 3A SMC|D1, D2|DS_VS-30BQD015TRPBF|Vishay Semiconductor Diodes Division|VS-30BQ015TRPBF||2|Digi-Key|Farnell|30BQ015PBFCT-ND|9101250|0|-6
9|LED Dk Green 430mcd 0603 SMD|DL1|DL_150060GS75000|WURTH ELEKTRONIK|150060GS75000||1|Farnell||2322070||9776|
10|LED Yellow 120mcd 0603 SMD|DL2|DL_150060YS75000|WURTH ELEKTRONIK|150060YS75000||1|Farnell||2322074||16120|
11|LED Red 250mcd 0603 SMD|DL3|DL_150060RS75000|WURTH ELEKTRONIK|150060RS75000||1|Farnell||2322071||6630|
12|Fuse 5.0A Very Fast Acting 1206 SMD|F1|FS_Fuse_5.0A|MULTICOMP|MC12CF 005|MC12CF-005|1|Farnell||1841033||47313|
13|Header 1.27mm Pitch SIL 10 Way SMT|GPIO and PWM Pins1|JB_M52H_10_1.27|HARWIN|M52-040000P1045||1|Farnell||1099570||-8|
14|USB 2.0, Right Angle, SMT, B Type, Receptacle, 5 Position,|H1|JS_USB_MINI_B_SMT|FCI||10033526-N3212MLF|1|Farnell||1824416|||
15|IDC Header, 1,27mm, 10-Pin, Vert, SMT|H2|JB_HDR_IDC_5X2_VERT|TE Connectivity|1-188275-0||1|Digi-Key||A99476TR-ND||7200|
16|IDC Header, 1,27mm, 20-Pin, Vert, SMT|H3|JB_HDR_IDC_10X2_VERT|TE Connectivity|2-188275-0||1|Digi-Key||A99481CT-ND||4480|
17|Ferrite Bead, Rdc 0.3R, Z100MHZ 600R, Imax 1A, SMD 1206|L1, L2|IN_Ferrite-Bead|FAIR-RITE|2512066017Y1|2512066017Y1|2|Farnell||1612060||78637|
18||LM1|LM317 ADJ||||1||||||
19|NPN GP Bipolar Transistor 45V 500mA SOT323|Q1, Q2, Q3, Q4|TB_BC817W|NXP||BC817W|4|Farnell||2114873||7073|
